,SummonerName,WinLoss,Champion,Q casts,W casts,E casts,R casts,ChampLevel,CS,Kills,Deaths,Assists,Exp,Damage,Shielding,Healing,Total Damage Taken,Wards Placed,Wards Killed,Vision Score,Penta Kills,Game Time seconds,Crowd Control,Time spent dead,Kill participation,Team damage percentage,Skillshots hit,Skillshots dodged,Solo kills,Turret plates taken,BOTTOM,JUNGLE,MIDDLE,TOP,UTILITY
1076,T1 Keria Fan,1,Kindred,59,33,28,1,10,9,0,4,5,6698,2774,0,6141,11459,5,3,21,0,1078,33,59,0.45454545454545453,0.07752472827034924,15,26,0,2,0,1,0,0,0
1077,ssam19,1,Viktor,34,5,49,8,11,99,1,0,4,7851,8980,0,0,5010,3,2,7,0,1078,20,0,0.45454545454545453,0.2509837097199598,19,28,0,5,0,0,1,0,0
1078,Jayman99,1,Samira,71,10,14,6,11,109,4,2,3,7544,7264,0,1334,7725,5,1,9,0,1078,26,51,0.6363636363636364,0.20302611464921652,14,30,1,0,1,0,0,0,0
1079,Kmack003,1,Blitzcrank,24,13,16,4,9,13,2,3,4,5302,3765,0,451,8025,5,1,11,0,1078,44,42,0.5454545454545454,0.1052446844946825,44,66,0,0,0,0,0,0,1
1080,AdmiralSnackbar,1,Darius,48,79,13,4,15,154,8,7,2,13877,13561,0,2542,25515,8,1,14,0,1577,148,220,0.2777777777777778,0.1684684193404626,8,15,7,5,0,0,0,1,0
1081,Vickers,1,Khazix,110,63,41,20,14,17,18,9,6,11510,22407,0,4935,23553,5,1,16,0,1577,147,296,0.6666666666666666,0.2783669271812243,13,4,3,2,0,1,0,0,0
1082,Ausfreak,1,Orianna,124,71,49,8,15,111,6,6,20,13299,14506,1591,1104,12361,9,2,24,0,1577,189,183,0.7222222222222222,0.1802173240128555,17,17,4,4,0,0,1,0,0
1083,Bucukaqi,1,Ashe,47,63,12,10,14,158,9,6,13,11453,16457,0,885,15796,8,2,18,0,1577,640,182,0.6111111111111112,0.20444810768503893,13,20,0,4,1,0,0,0,0
1084,Parawhore,1,Lux,35,29,93,11,13,19,6,8,19,10700,13563,1349,497,15332,10,3,34,0,1577,135,209,0.6944444444444444,0.16849922178041865,12,15,1,2,0,0,0,0,1
1085,thsi games trash,0,Udyr,78,48,60,0,13,140,0,11,2,10661,9315,0,2127,22988,6,0,9,0,1577,32,333,0.0425531914893617,0.12523747000921234,22,35,0,5,0,0,0,1,0
1086,Bronze Yi Player,0,MasterYi,71,24,43,12,16,43,21,9,8,16383,36969,0,8786,27108,5,4,31,0,1577,151,259,0.6170212765957447,0.496991875882972,18,111,17,1,0,1,0,0,0
1087,Saf,0,Caitlyn,27,14,9,6,12,115,2,8,6,9700,4780,0,1824,13977,5,2,11,0,1577,31,172,0.1702127659574468,0.06427219633364213,32,116,0,0,1,0,0,0,0
1088,Cool Fluffy,0,Veigar,68,46,28,7,13,87,5,8,6,10616,13307,0,1792,16986,8,3,16,0,1577,60,219,0.23404255319148937,0.17889919361678094,52,58,2,0,0,0,1,0,0
1089,mindthewires,0,Pyke,30,41,25,11,12,39,8,11,1,8998,10012,0,3365,20099,20,2,30,0,1577,68,278,0.19148936170212766,0.13459926415739257,38,194,1,0,0,0,0,0,1
1090,lookaneagle,0,Volibear,45,63,54,8,14,124,5,9,3,13000,16757,0,1562,25134,6,2,13,0,1733,268,295,0.24242424242424243,0.25611528377274434,10,13,3,4,0,0,0,1,0
1091,pycke,0,Brand,82,109,80,8,15,45,6,7,3,13490,18857,0,6025,23149,2,2,14,0,1733,289,273,0.2727272727272727,0.288206805034304,12,15,2,1,0,1,0,0,0
1092,Tibsosuar,0,Akali,102,11,36,14,14,172,3,2,2,12879,15414,0,588,14718,3,4,26,0,1733,73,89,0.15151515151515152,0.23558120203863525,22,37,2,1,0,0,1,0,0
1093,Clebbo,0,Vayne,32,0,7,4,13,152,3,6,1,11194,6307,0,2384,16899,8,1,12,0,1733,4,163,0.12121212121212122,0.09639639032549059,22,26,1,0,1,0,0,0,0
1094,qiqqwpfrk,0,Darius,27,34,13,4,12,82,2,10,2,9484,8093,0,757,22444,19,4,36,0,1733,49,255,0.12121212121212122,0.12370031882882583,28,44,0,1,0,0,0,0,1
