StepSisIsStuck,True,UTILITY,Lux,53,50,147,17,16,44,11,3,12,14915,17771,3303,647,9430,17,7,48,0,1882,185,98,0,0,0,0,0,0
fletso,False,TOP,Lulu,70,53,27,7,17,194,14,9,3,17949,32133,264,5603,27069,9,1,15,0,1882,461,287,0,0,0,0,0,0
T1meRid3r,False,JUNGLE,Kindred,131,55,53,3,14,41,8,10,2,12684,15860,0,11029,29498,9,3,22,0,1882,152,381,0,0,0,0,0,0
EvilXno8,False,MIDDLE,Orianna,122,69,33,10,14,175,3,8,2,12069,14279,190,1721,17927,10,3,24,0,1882,276,264,0,0,0,0,0,0
LongLostPal,False,UTILITY,Janna,77,49,55,5,13,13,1,8,11,10223,7968,4113,3844,17075,14,4,29,0,1882,161,260,0,0,0,0,0,0
TheRapfin,False,BOTTOM,Vayne,88,0,15,7,14,167,3,9,5,11967,16485,0,3462,18575,12,2,23,0,1882,77,247,0,0,0,0,0,0
Slurpie,False,TOP,Irelia,253,25,70,8,17,240,10,6,3,18163,24365,0,6287,30390,13,2,27,0,1910,107,244,0,0,0,0,0,0
Blighted Angel,False,JUNGLE,Nidalee,251,198,142,245,15,25,13,10,5,13562,29697,0,13786,35859,2,5,20,0,1910,142,316,0,0,0,0,0,0
SuperrL,False,MIDDLE,Zed,75,51,61,16,15,145,8,12,6,14175,18412,0,1508,27468,8,1,14,0,1910,113,382,0,0,0,0,0,0
LISR007,False,BOTTOM,Samira,162,18,21,7,16,235,7,3,9,15033,20007,0,7565,26743,7,0,9,0,1910,0,73,0,0,0,0,0,0
keiiro,False,UTILITY,Seraphine,62,47,50,5,13,14,2,8,15,10885,11959,1747,4548,18030,31,5,67,0,1910,130,196,0,0,0,0,0,0
MVPete,True,TOP,Gnar,157,31,56,12,18,179,6,4,11,19290,20168,0,11601,32340,12,4,31,0,1910,567,122,0,0,0,0,0,0
Frommoh,True,JUNGLE,Karthus,436,34,141,7,16,52,12,9,15,16464,34600,0,10309,31025,2,1,10,0,1910,205,261,0,0,0,0,0,0
