SummonerName,WinLoss,Lane,Champion,Q casts,W casts,E casts,R casts,ChampLevel,CS,Kills,Deaths,Assists,Exp,Damage,Shielding,Healing,Total Damage Taken,Wards Placed,Wards Killed,Vision Score,Penta Kills,Game Time seconds,Crowd Control,Time spent dead,Kill participation,Team damage percentage,Skillshots hit,Skillshots dodged,Solo kills,Turret plates taken
Ausfreak,True,UTILITY,Blitzcrank,29,45,25,10,15,29,1,4,16,14012,9148,159,3528,17840,22,5,53,0,2018,249,97,0.4857142857142857,0.07335127884792261,44,147,0,4
P00P NUGGET ,False,TOP,Akali,132,32,67,27,16,174,10,7,3,15192,24129,0,2190,36857,12,3,27,0,2018,64,267,0.2653061224489796,0.2483063975490029,22,20,2,4
zDart,False,JUNGLE,MasterYi,79,5,44,13,16,35,12,9,5,15332,25429,0,9095,39821,6,6,22,0,2018,232,348,0.3469387755102041,0.26168130304739606,32,18,3,1
IGOROT HH,False,MIDDLE,Malphite,57,47,59,15,16,128,7,13,10,15699,24126,0,351,30566,12,0,18,0,2018,483,470,0.3469387755102041,0.24827343566991852,29,16,2,0
lil yumyum scwub,False,BOTTOM,Ashe,32,81,15,16,14,164,2,10,9,12144,11854,0,2264,24662,4,1,22,0,2018,592,322,0.22448979591836735,0.1219897337815747,33,22,1,2
Grubenstien,False,UTILITY,Lulu,50,50,37,13,13,28,4,10,9,11398,11636,1292,1074,22198,25,3,56,0,2018,239,283,0.2653061224489796,0.11974912995210779,28,24,0,2
The Law of One,True,TOP,Nocturne,62,21,20,16,13,113,5,5,6,11364,10113,0,2388,14331,11,0,21,0,1451,308,123,0.6875,0.18114756054010456,19,33,1,4
AngryArni,True,JUNGLE,Volibear,72,106,69,4,14,57,11,0,5,11669,14013,0,8573,17277,2,2,11,0,1451,446,0,1,0.2510088792992948,31,45,0,3
ezeraith,True,MIDDLE,Graves,56,16,22,9,14,171,5,4,6,11705,13297,0,81,14298,3,1,5,0,1451,136,149,0.6875,0.23818600014105454,26,30,1,5
Meokai,True,BOTTOM,MissFortune,47,23,19,4,12,156,1,4,6,9364,8066,0,1323,9509,10,3,26,0,1451,120,95,0.4375,0.14447917010673686,21,28,0,2
Fekoo,True,UTILITY,Zilean,111,33,48,4,11,14,2,3,12,8273,10338,0,3764,6382,17,7,47,0,1451,65,71,0.875,0.18517838991280927,17,22,0,2
StefanS33,False,TOP,XinZhao,39,39,0,8,13,141,4,7,2,10971,10934,0,5108,24511,6,1,11,0,1451,197,239,0.25,0.2526684653405567,31,59,4,4
HipsterNami,False,JUNGLE,Viego,140,76,25,12,12,20,9,5,2,9409,13769,0,13003,27120,1,1,10,0,1451,125,164,0.4583333333333333,0.31819984182074534,35,52,1,2
NeonSlug,False,MIDDLE,Ahri,65,56,26,15,12,116,3,6,1,8874,8074,0,1563,12916,6,1,12,0,1451,45,165,0.16666666666666666,0.18658629133737384,29,52,0,0
AlmondEye,False,BOTTOM,Ashe,15,56,7,6,12,148,0,3,6,9356,5501,0,1435,9583,6,0,13,0,1451,553,55,0.25,0.12713031929195884,23,47,0,2
Ausfreak,False,UTILITY,Nami,22,31,53,6,10,10,0,3,10,6980,4994,0,4678,6488,16,5,31,0,1451,169,62,0.4166666666666667,0.11541508220936525,17,35,0,2
8enlahadad,True,TOP,Urgot,24,152,18,4,13,138,3,0,3,11284,6281,0,3137,8779,5,1,10,0,1306,152,0,0.8571428571428571,0.14937450080179404,11,5,1,5
Onelmao,True,JUNGLE,Viego,129,76,52,12,13,20,6,2,6,10375,9388,0,8874,14632,3,1,15,0,1306,165,26,1.7142857142857142,0.22325995717185632,20,12,0,2
Kwixx,True,MIDDLE,Vex,82,19,31,10,12,118,4,1,4,9939,8728,0,1032,6533,8,3,19,0,1306,398,10,1.1428571428571428,0.2075593078527978,18,14,2,2
Sniperdx,True,BOTTOM,Tristana,38,23,25,3,12,95,5,1,5,9063,6812,0,1631,9027,7,0,11,0,1306,8,27,1.4285714285714286,0.16199806306161432,30,20,0,2
Wessie,True,UTILITY,Lux,35,15,91,6,11,31,2,3,6,7668,10841,491,598,5914,11,3,28,0,1306,200,63,1.1428571428571428,0.25780817111193755,18,9,0,0
phgimkfu,False,TOP,Garen,23,4,27,0,10,84,0,2,0,6382,890,0,8,6729,6,0,7,0,1306,36,37,0,0.034740450989540435,9,4,0,0
MAMMY EATER,False,JUNGLE,Hecarim,131,36,34,5,10,44,4,4,1,7124,4622,0,6134,17530,1,2,7,0,1306,177,109,0.25,0.18029829615182535,13,9,1,0
Billy Ray Cyrus,False,MIDDLE,Ahri,58,41,12,13,12,128,0,3,3,9159,6497,0,2737,12679,6,1,15,0,1306,17,71,0.15,0.2534028543878152,22,8,0,0
Zenkai no,False,BOTTOM,Xayah,46,15,25,4,10,111,3,7,1,6675,9842,0,1065,14398,7,1,13,0,1306,11,165,0.2,0.3838750272061295,23,10,0,0
Ausfreak,False,UTILITY,Nami,14,32,38,4,8,6,0,4,4,4791,3786,0,4129,8343,8,5,20,0,1306,118,86,0.2,0.14768337126468953,12,12,0,0
Elegie,True,TOP,Kayle,50,32,63,2,15,150,8,3,0,13667,13714,0,2774,13127,3,0,8,0,1451,226,78,0.5,0.2213741324973148,0,0,4,5
TheHighGround93,True,JUNGLE,Viego,170,90,64,14,14,19,8,4,10,12106,14776,0,13681,26135,5,2,19,0,1451,297,111,1.125,0.23851150961066553,8,8,1,0
drop skin ,True,MIDDLE,Kaisa,85,54,107,5,14,172,6,4,11,12270,17636,0,1240,10935,10,1,21,0,1451,34,113,1.0625,0.2846666290406946,8,7,2,0
xjSS4Ux,True,BOTTOM,Ezreal,176,23,16,4,12,148,4,5,6,8997,11176,0,723,10238,6,1,9,0,1451,34,122,0.625,0.1804015138881569,6,4,0,0
jjONZA,True,UTILITY,Blitzcrank,22,25,21,7,11,35,2,0,7,8208,4649,100,214,5569,21,4,48,0,1451,72,0,0.5625,0.07504621496316813,6,5,1,0
Fepstre,False,TOP,Shen,94,13,21,4,14,161,2,6,3,11632,8049,2218,890,18626,9,0,16,0,1451,1082,197,0.17857142857142858,0.1907317419114324,15,20,1,1
Frommoh,False,JUNGLE,Elise,118,107,57,90,13,19,3,4,5,10156,10584,0,5622,18724,4,4,19,0,1451,131,92,0.2857142857142857,0.2507978815825943,25,14,1,0
CloudAron,False,MIDDLE,Pantheon,69,19,11,3,12,102,6,8,3,9460,12685,0,1435,19568,4,2,10,0,1451,30,232,0.32142857142857145,0.30059115107182555,31,18,3,1
Varza,False,BOTTOM,Draven,50,64,12,7,11,130,3,6,3,7680,7240,0,1891,12680,4,0,6,0,1451,42,120,0.21428571428571427,0.17156087857199992,28,12,0,0
Ausfreak,False,UTILITY,Nami,19,26,54,4,10,7,2,4,4,7201,3642,0,4634,9246,7,2,11,0,1451,94,56,0.21428571428571427,0.08631834686214786,20,23,0,0
sadtrolley,True,TOP,Sion,98,103,69,11,18,228,8,6,9,21121,17384,0,8387,40233,15,1,26,0,2512,1347,214,0.4722222222222222,0.1263330821469468,46,20,3,3
Frommoh,True,JUNGLE,Lillia,195,84,72,12,18,52,10,9,19,18822,43108,0,22548,46350,6,4,30,0,2512,306,311,0.8055555555555556,0.3132611857109707,24,14,0,0
Kazehaya,True,MIDDLE,Yasuo,424,22,196,9,18,240,17,9,13,22674,36922,0,8053,40805,11,2,21,0,2512,177,305,0.8333333333333334,0.2683132450340102,29,27,3,1
n4ko ,True,BOTTOM,Caitlyn,102,37,10,6,18,260,9,5,19,19038,29008,0,3603,20380,13,6,34,0,2512,114,209,0.7777777777777778,0.21079953665056858,12,9,0,1
Ausfreak,True,UTILITY,Nautilus,48,36,41,9,16,35,3,7,30,15341,11186,2341,3236,22416,27,13,73,0,2512,440,233,0.9166666666666666,0.08129295045750366,18,20,0,0
ThuocLao Vietnam,False,TOP,Jayce,178,104,117,170,18,230,11,9,4,20535,42695,0,2144,33889,10,3,24,0,2512,366,342,0.3191489361702128,0.3246823974409149,43,32,5,5
Ping3r,False,JUNGLE,Diana,142,61,80,11,18,95,8,7,9,21997,33495,0,10832,35979,3,9,43,0,2512,246,266,0.3617021276595745,0.25472167148792235,19,24,1,4
Nolsey,False,MIDDLE,Riven,284,63,90,27,18,254,10,6,10,21140,33466,0,4365,29934,15,1,25,0,2512,158,180,0.425531914893617,0.2544986407131287,26,29,5,3
Sheré Khan,False,BOTTOM,Renekton,68,31,99,8,17,217,3,13,9,16810,11212,0,5527,41085,14,2,27,0,2512,32,407,0.2553191489361702,0.08526515831906238,38,50,0,0
Jimmychangas,False,UTILITY,Leona,56,43,33,14,15,39,4,12,13,13627,10629,1109,1751,35202,40,10,85,0,2512,122,377,0.3617021276595745,0.0808321320389716,65,69,0,0
Banksyy,True,TOP,Urgot,36,106,27,14,16,192,12,7,9,15972,25398,0,2596,25275,10,0,18,0,1642,350,191,0.8076923076923077,0.28513164400649604,42,53,3,3
Frommoh,True,JUNGLE,Volibear,36,111,67,6,14,5,11,6,11,12549,15509,0,9828,27515,6,3,22,0,1642,458,116,0.8461538461538461,0.17411848018141218,40,39,2,0
Windows 95,True,MIDDLE,Xerath,105,67,30,35,15,129,9,4,13,14594,27958,0,641,12493,10,3,36,0,1642,292,109,0.8461538461538461,0.31387110113527117,10,17,2,0
GotTits,True,BOTTOM,Lucian,62,36,40,7,14,178,4,5,10,11725,12447,0,1469,13438,7,1,14,0,1642,3,151,0.5384615384615384,0.1397436859804358,19,12,0,3
Ausfreak,True,UTILITY,Blitzcrank,24,36,27,11,13,24,4,4,14,11119,7761,548,1624,15335,13,3,26,0,1642,230,122,0.6923076923076923,0.08713508869638485,35,24,0,3
Bec2002,False,TOP,Irelia,178,23,54,8,14,155,10,10,9,12625,22485,0,6713,32202,7,5,18,0,1642,57,276,0.475,0.30690039866891944,49,32,6,9
OUTLaws,False,JUNGLE,Malphite,55,49,75,6,12,16,5,8,5,8898,9034,0,5601,22116,6,0,11,0,1642,578,214,0.25,0.12331441293882965,9,11,0,0
USLKHDavid17,False,MIDDLE,Yasuo,205,18,147,5,13,140,5,7,6,10886,13204,0,1626,23224,8,3,19,0,1642,88,231,0.275,0.1802341320511721,49,7,1,4
ValhaIIa,False,BOTTOM,Jinx,157,24,10,9,12,164,2,6,5,9908,12132,0,1073,14725,8,2,14,0,1642,43,138,0.175,0.16559194173162198,36,8,0,1
Belphie,False,UTILITY,Karma,88,25,100,43,12,14,4,9,7,8657,16408,3569,3351,20680,20,2,46,0,1642,271,240,0.275,0.22395911460945686,28,10,1,1
haven beer,True,TOP,DrMundo,115,28,63,9,14,175,3,9,6,12531,19496,0,6441,34816,5,1,10,0,1643,176,228,0.36,0.21227571493884395,37,22,1,4
Frommoh,True,JUNGLE,Poppy,127,27,42,7,15,28,10,3,10,14413,18711,0,9416,24323,6,5,30,0,1643,704,83,0.8,0.20372766503409973,28,33,2,0
Ausfreak,True,UTILITY,Nami,28,62,89,10,14,9,4,2,30,12806,10855,0,12521,9587,14,2,41,0,1643,184,56,1.36,0.11819325875258639,11,4,1,4
rawdogfeeder,True,BOTTOM,Lucian,79,36,46,8,15,195,25,7,7,14049,31819,0,1979,22620,8,0,11,0,1643,21,206,1.28,0.3464467588924103,33,38,3,5
SUDS,True,MIDDLE,Neeko,84,84,68,10,13,99,3,4,4,11058,10962,0,2350,15095,10,3,29,0,1643,185,122,0.28,0.11935660238205967,29,20,1,4
